Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID,Relevance,Relation,Possible use
Thomas P.; Kayarkatte N.,"Thomas, Ponny (57822391400); Kayarkatte, Narayan (57821353600)",57822391400; 57821353600,Harmony in consumption: Navigating the landscape of eco-conscious marketing,2024,New Trends in Marketing and Consumer Science,,,,215.0,227.0,12.0,0,10.4018/979-8-3693-2754-8.ch011,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196977775&doi=10.4018%2f979-8-3693-2754-8.ch011&partnerID=40&md5=dedc27be4abe09fe2c2aa358dcd77545,"This chapter explores nascent marketing and consumer science developments, emphasizing ethical and sustainable practices. This study examines various aspects of ethical marketing in the digital era, ecoconscious consumer behaviour, the fight against greenwashing, and promotion. A comprehensive analysis reveals the importance of harmonizing business operations with ethical and environmental standards. The chapters provide valuable insights and strategies for businesses, policymakers, and consumers to effectively navigate the ever-changing realm of sustainability and ethics in the marketplace, encompassing innovative educational initiatives and authentic branding. In essence, the chapter espouses the necessity of adopting a harmonized stance towards consumption-emphasizing the well-being of individuals, the environment, and economic growth. © 2024, IGI Global. All rights reserved.",,,Book chapter,Final,,Scopus,2-s2.0-85196977775,Possibly,"Sustainability,  possibly Availability","
While the reference paper focuses broadly on ethical and sustainable marketing practices, it touches upon elements that could be tangentially relevant to your research. 

* **Sustainability:** The chapter clearly emphasizes the importance of sustainable practices in the marketplace. This aligns with the broader context of your paper, which examines how information influences responsible consumption. You could potentially cite this paper to provide background on the growing importance of sustainability as a consumer concern.

* **Possible Availability:** The chapter mentions ""eco-conscious consumer behavior"" and ""the fight against greenwashing.""  This suggests a potential discussion of how information availability (or lack thereof) impacts consumer choices related to sustainability. You could explore whether the chapter offers insights into the information barriers consumers face when trying to make responsible choices.

**Important Considerations:**

* **Limited Focus on Information Seeking:** The reference paper doesn't appear to directly address information-seeking processes as a central theme. Therefore, its value to your research might be limited.

* **Broad Scope:** The chapter covers a wide range of topics related to ethical and sustainable marketing. You'd need to carefully extract the specific sections relevant to your focus on information and responsible consumption. 



**Recommendation:**

Skim the chapter to determine if it offers concrete examples or insights into the relationship between information availability and responsible consumption. If so, it could be a useful supplementary source. However, don't rely on it as a primary source for your research on information-seeking processes."
Simão S.A.V.; Rohden S.F.; Pinto D.C.,"Simão, Sofia Alexandra Vieira (57935870200); Rohden, Simoni F. (57204511450); Pinto, Diego Costa (56289150100)",57935870200; 57204511450; 56289150100,Natural claims and sustainability: The role of perceived efficacy and sensorial expectations,2022,Sustainable Production and Consumption,34,,,505.0,517.0,12.0,8,10.1016/j.spc.2022.09.026,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140314714&doi=10.1016%2fj.spc.2022.09.026&partnerID=40&md5=127ddb29d1a4395d4bf383fad5aefc9a,"Natural claims have been increasingly used by brands across a variety of product categories to address the growing concerns about sustainable and healthy consumption. To add insights to this body of knowledge, this research aims to investigate the influence of natural claims on consumers' judgments and purchase intentions of personal care products. Findings from two studies suggest that natural claims are broadly used in personal care product packaging to influence consumers' purchase intentions, due to the natural-is-better bias and the health halos evoked by such claims. This research also contributes to the literature by investigating the underlying mechanisms of perceived efficacy, safety, sensorial expectations, and greenwashing perceptions. Moreover, environmental consciousness moderates the effects of natural claims on consumers' judgments of perceived efficacy. The findings thus not only enhance our understanding of the natural-is-better bias but also shed light on the role played by perceived safety and sensorial expectations on intentions to purchase natural-claimed products. Relevant implications for brands and policymakers in terms of sustainable consumption are also discussed. © 2022 Elsevier Ltd",Consumer judgment; Halo effects; Natural claims; Natural-is-better bias; Personal care; Purchase intentions,Purchasing; Sales; Body of knowledge; Consumer judgment; Halo effect; Natural claim; Natural-be-better bias; Personal care; Personal care products; Product categories; Product packaging; Purchase intention; Sustainable development,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85140314714,Possibly,"Asymmetries, Sustainability","
While the reference paper doesn't directly focus on information-seeking processes, it touches upon relevant themes that could be valuable to your research:

* **Asymmetries:** The paper discusses ""greenwashing practices,"" which highlight information asymmetries between brands and consumers. Brands may use ""natural"" claims to mislead consumers about the true sustainability of their products. This aligns with your interest in information barriers and how they can influence responsible consumption. You could cite this paper to support your argument about the need for improved information systems to address such asymmetries.

* **Sustainability:** The paper explores how ""natural"" claims influence consumer perceptions and purchase intentions regarding sustainable consumption. Although it doesn't delve into information-seeking behaviors, it provides insights into consumer motivations and decision-making processes related to sustainability. You could use this paper to contextualize your findings and demonstrate the broader relevance of your research within the field of sustainable consumption.


**Important Note:**

The reference paper's primary focus is on the impact of ""natural"" claims, not on the broader information-seeking processes you're investigating. Therefore, its relevance is somewhat tangential. However, it can still offer valuable insights and support your arguments regarding information asymmetries and the importance of addressing them for fostering responsible consumption."
Jog D.; Singhal D.,"Jog, Deepti (56044839800); Singhal, Divya (57193489347)",56044839800; 57193489347,Greenwashing Understanding Among Indian Consumers and Its Impact on Their Green Consumption,2024,Global Business Review,25,2,,491.0,511.0,20.0,18,10.1177/0972150920962933,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092785989&doi=10.1177%2f0972150920962933&partnerID=40&md5=76cde5cecfd291231f58854b833b4556,"The consumer markets for green personal care products have been expanding rapidly in the past decade and so are the greenwashing practices of the companies. More and more companies are engaging in greenwashing, misleading consumers about their environmental performance or the environmental benefits of a product or service. As the discussion around greenwashing practices has grown in the past few years, consumers have become conscious of their choices and have started understanding the greenwashing practices of companies. The purpose of this empirical study is to assess the greenwashing understanding in Indian consumers’ green purchase behaviour and the effects of receptivity to green advertising, environmental consciousness and personal norm, using structural equation modelling. The findings confirm that the level of greenwashing understanding moderates the relationship between receptivity to green advertising and green purchase behaviour. Additionally, the findings provide that income level has a significant impact on environmental consciousness and green purchase behaviour relationship. The study has possible implications for advertisers, government and other agencies. © 2020 IMI.",environmental consciousness; green consumers; Green purchase behaviour; greenwashing; personal care products; personal norm; receptivity to green advertising,,Article,Final,,Scopus,2-s2.0-85092785989,"Yes, possibly",Asymmetries,"
While the reference paper focuses on greenwashing in India, it directly relates to the concept of **information asymmetries** that you're interested in.  

Here's how you could utilize it:

* **Supporting Argument:** The paper provides empirical evidence of greenwashing practices and how they impact consumer behavior. You can cite this study to strengthen your argument about the existence of information asymmetries between companies and consumers regarding ethical and sustainable practices.
* **Contextualizing Information Barriers:** The study highlights how greenwashing can act as an information barrier, preventing consumers from making truly informed decisions about responsible consumption. This aligns with your focus on information barriers and their influence on consumer choices.
* **Expanding Scope (Potentially):** Depending on your paper's scope, you could briefly discuss greenwashing as a specific example of an information asymmetry within the broader context of responsible consumption. However, be cautious about overextending your analysis into a topic that's not central to your main argument. 


**Important Note:**

While the reference paper is relevant, it's important to critically evaluate its findings and ensure they align with your specific research context. The study focuses on India, so its generalizability to other contexts might need further consideration."
Kavitha R.; Kumar N.S.,"Kavitha, R. (59005951900); Kumar, N. Senthil (58275502600)",59005951900; 58275502600,The influence of greenwashing on sustainable behaviour: The mediators of green perceived risk and green scepticism,2023,Journal of Environmental Biology,44,5,,719.0,727.0,8.0,1,10.22438/jeb/44/5/MRN-5112,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172008516&doi=10.22438%2fjeb%2f44%2f5%2fMRN-5112&partnerID=40&md5=2ff27fab418a90058419e155eee22dac,"Aim: To evaluate how greenwashing can affect sustainable behaviour. This study also explores the role of green perceived risk and green scepticism as mediators and how these mediators affect each other sequentially in the relationship between greenwashing and sustainable behaviour. Methodology: As people are now completely dependent on gadgets in their daily lives, therefore, the researcher solicited consumers who had purchased eco-friendly gadgets from shopping malls and other electronic stores 450 subjects were selected using ""purposive sampling"". Indian consumers in Chennai, Hyderabad, Bengaluru, and Pondicherry are the subjects of the study.Responses were obtained through the use of a questionnaire.To test the research hypotheses, the study used SPSS 25 and AMOS 21. Results: The results indicate that the negative correlation between green washing and sustainable behaviour was mediated by green perceived risk and green scepticism, and these mediators serially affected green washing and sustainable behaviour. Interpretation: This study suggests that firms should integrate transparency into green products without employing greenwash, which would increase consumer trust in green products and reduce green perceived risk and green scepticism among them. Consumers today are aware of greenwashing and have started to investigate it. This research is crucial to protect both the environment and mankind. © 2023 Triveni Enterprises. All rights reserved.",Green perceived risk; Green scepticism; Greenwash; Sustainable buying behaviour; Transparency,Bengaluru; Chennai; Hyderabad [Telangana]; India; Karnataka; Puducherry; Tamil Nadu; Telangana; correlation; environmental conditions; hypothesis testing; questionnaire survey; research work; risk perception; sustainability,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85172008516,Possibly,Asymmetries,"
While the reference paper focuses on greenwashing and its impact on sustainable behavior, it touches upon a relevant aspect for your research: **information asymmetries**.  

The paper highlights how greenwashing creates a situation where consumers lack complete and accurate information about a product's sustainability. This information asymmetry can directly relate to the ""information barriers"" you discuss in your abstract.

Here's how you could utilize this paper:

* **Support your argument:** You can cite this paper to support your claim that information barriers, including those created by greenwashing, can hinder responsible consumption.
* **Expand on the consequences:** The paper shows that greenwashing leads to increased ""green perceived risk"" and ""green scepticism"" among consumers. You could use this to illustrate the negative consequences of information asymmetries on consumer trust and willingness to engage in responsible consumption.
* **Highlight the need for solutions:** The paper concludes by suggesting that transparency is crucial to combat greenwashing. This aligns with your call for improved information systems and decision-support tools to address information barriers. You can reference this paper to strengthen your argument for solutions that promote transparency and reduce information asymmetries. 


**Important Note:**

While the reference paper offers valuable insights into information asymmetries, it doesn't directly address the information-seeking processes you focus on in your research. Therefore, its relevance is limited to supporting specific arguments related to information barriers and the consequences of greenwashing."
Ahmed A.; Johnson F.,"Ahmed, Amira (57215434302); Johnson, Frances (8158046100)",57215434302; 8158046100,Gamification as a Way of Facilitating Emotions During Information-Seeking Behaviour: A Systematic Review of Previous Research,2021,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),12646 LNCS,,,85.0,98.0,13.0,4,10.1007/978-3-030-71305-8_7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104886169&doi=10.1007%2f978-3-030-71305-8_7&partnerID=40&md5=0692b0c3e82f5fcbdd088e207523efb8,"Games and game elements have been studied and applied in various domains to encourage sustainable behaviours, often without a clear understanding of how they achieve these effects. One unconventional domain is the management of emotions during information seeking. This paper presents a review of current research literature covering gamification and game elements beyond entertainment and outlines their theoretical practicalities. A total of 40 records from different perspectives were reviewed studying the effects or user perceptions of gamification within motivation, emotions and information-seeking. The results reported in the reviewed records indicate that applying gamification is a promising approach for managing emotions in the information-seeking research process. However, the study identified shortcomings, thematic gaps, and the direction of future research which is discussed in this paper. © 2021, Springer Nature Switzerland AG.",Emotions; Games with a purpose; Gamification; Information-seeking; Systematic review,Gamification; Information retrieval; Information use; Game elements; Information seeking; Information seeking behaviours; Information seeking research; Sustainable behaviours; Systematic Review; User perceptions; Behavioral research,Conference paper,Final,,Scopus,2-s2.0-85104886169,Possibly,Information seeking,"
While the reference paper focuses on gamification as a tool to manage emotions during information seeking, it touches upon a relevant aspect for your research: the role of information seeking in shaping consumer behavior.  

Here's how you could potentially utilize it:

* **Broader Context:** The paper provides a broader context for understanding how information seeking itself can be influenced by various factors (in this case, gamification and emotions). You could cite it to highlight the complexity of information seeking processes and how they extend beyond simply accessing information.
* **Emotional Dimension:** Although your paper doesn't explicitly focus on emotions, the reference paper could offer insights into how emotional responses to information might influence the valuation of ethical aspects during decision-making. This could be a point for further exploration or discussion in your work.
* **Limitations:** You could also use the reference paper to point out the limitations of current research on information seeking and responsible consumption. The paper mentions ""shortcomings, thematic gaps, and the direction of future research,"" which aligns with the need for more studies like yours. 


**Important Note:** The reference paper's focus on gamification makes it only tangentially related to your research. It's not directly about sustainable or responsible consumption, so use it cautiously and primarily as a source of context or to highlight broader trends in information-seeking behavior."
Zhang G.; Wang L.; Meng H.,"Zhang, Gaopeng (55771487300); Wang, Linfan (58669644100); Meng, Hu (57216492515)",55771487300; 58669644100; 57216492515,Environmental knowledge level and consumer behavior regarding green fashion: a moderated mediation model,2024,Asia Pacific Journal of Marketing and Logistics,36,4,,977.0,992.0,15.0,4,10.1108/APJML-07-2023-0637,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175150256&doi=10.1108%2fAPJML-07-2023-0637&partnerID=40&md5=0fcd8001423978b36ce48fb8922867ef,"Purpose: Based on the knowledge-attitude-behavior model, this study is aimed at investigating the influential mechanism underlying the purchase of green clothing by dividing this clothing category into green home-in wear and home-out wear within the context of green consumption. The mediating effects of perceived greenwashing (PG), perceived value (PV) and expected moral benefit (EMB) and the moderating effect of green clothing type (GCT) were examined. Design/methodology/approach: The data for this study were collected from 366 valid samples through a between-subject design survey administered in China. Moderation analysis and mediation analysis using SPSS/PROCESS macro were applied to test the proposed hypotheses. Findings: The results indicate that consumers' level of environmental knowledge (EKL) not only has a direct effect on purchase intention (PI) but also has an indirect effect through perceived value and expected moral benefit. However, perceived greenwashing did not play a mediating role in this relationship. Originality/value: The study's findings show a moderating effect of green clothing type (green home-in wear vs green home-out wear). That is, compared to green home-out wear, the relationship between expected moral benefit and perceived greenwashing for green home-in wear had a weaker negative effect on purchase intentions. © 2023, Emerald Publishing Limited.",Empirical research; Environmental knowledge level; Expected moral benefit; Green fashion; Greenwashing; Perceived value,,Article,Final,,Scopus,2-s2.0-85175150256,Possibly,"Asymmetries, Sustainability","
While the reference paper doesn't directly focus on information-seeking processes like your study, it touches upon relevant themes:

* **Asymmetries:** The paper investigates ""perceived greenwashing,"" which highlights a potential information asymmetry between consumers and companies regarding the true sustainability of products. This aligns with your interest in information barriers and how they can influence responsible consumption. You could cite this paper to support the argument that information asymmetries, such as greenwashing, can hinder consumers from making fully informed ethical choices.

* **Sustainability:** The paper explores consumer behavior related to ""green fashion,"" a clear example of sustainable consumption. Although their focus is on the knowledge-attitude-behavior model, their findings on the influence of environmental knowledge and perceived value on purchase intentions could be relevant to your work. You could draw parallels between their findings and your own, suggesting that accessible information about a product's ethical aspects (like its sustainability) can positively influence consumer choices.

**Important Considerations:**

* The reference paper's primary focus is on the psychological mechanisms driving green fashion purchases, not on the information-seeking process itself. Therefore, its direct contribution to your research might be limited.
*  You would need to carefully select and contextualize the relevant findings from this paper to ensure they align with your specific research questions and arguments. 


Let me know if you have any other papers you'd like me to evaluate!"
Mitina E.A.,"Mitina, E.A. (57208468233)",57208468233,RESPONSIBLE CONSUMPTION AS A FACTOR OF ORGANIC PRODUCTS REGIONAL MARKET DEVELOPMENT; [ОТВЕТСТВЕННОЕ ПОТРЕБЛЕНИЕ КАК ФАКТОР РАЗВИТИЯ РЕГИОНАЛЬНОГО РЫНКА ОРГАНИЧЕСКОЙ ПРОДУКЦИИ],2022,"Izvestiya Vysshikh Uchebnykh Zavedenii, Seriya Teknologiya Tekstil'noi Promyshlennosti",,5,,19.0,27.0,8.0,0,10.47367/0021-3497_2022_5_19,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144334065&doi=10.47367%2f0021-3497_2022_5_19&partnerID=40&md5=48c885492eeb55f43799d4e341db19f2,"Responsible consumption is characterized not only by the reasonable use of natural resources, but also by the formation of a certain ecological culture, the principles of an individual healthy lifestyle in the modern world. The aim of the work is to study the commodity and pricing policy in the market of organic textile products in the Republic of Crimea as an element of responsible consumption. The article uses graphical methods, methods of regression and correlation analysis, smoothed line of averages, synthesis, dynamic comparison, survey. With regard to the product ranges presented in the retail chains of the Republic of Crimea, finished textile products were analyzed, including 192 items in the underwear product group. As a result of the study, it was revealed that 53.6% of organic textile products are represented on the regional market in relation to greenwashing; the largest number of organic textile products is presented in the product group ""children's (0-2)"" clothes with an average cost of 2030.96 rubles; over 3000 rubles. It is difficult to find an economic justification for the prices of organic textile products in this product group, they are set in a stochastic manner and are speculative. © 2022 Ivanovo State University of Chemistry and Technology. All rights reserved.",commodity policy; greenwashing; organic textile products; pricing policy; regional market; Republic of Crimea; responsible consumption,,Article,Final,,Scopus,2-s2.0-85144334065,Possibly,"Asymmetries, Sustainability","
While the reference paper focuses on the organic textile market in Crimea, it touches upon a few aspects relevant to your research:

* **Greenwashing:** The paper explicitly mentions greenwashing practices (53.6% of organic textile products are potentially misrepresented). This directly aligns with your interest in information asymmetries and how they can mislead consumers regarding responsible consumption. You could cite this paper as an example of greenwashing in a specific market context.
* **Price Disparities:** The paper highlights the lack of economic justification for high prices of organic textile products, suggesting potential information gaps or manipulation. This could be linked to your research on information barriers and how they influence consumer valuation of ethical aspects.

**Limitations:**

* **Specificity:** The paper's narrow focus on organic textiles in a specific region limits its direct applicability to your broader study on information-seeking and responsible consumption.
* **Methodological Differences:** Your research likely employs different methodologies than the reference paper (e.g., surveys, experiments).

**How to Utilize:**

* **Illustrative Example:** Use the reference paper as a concrete example of greenwashing and its potential impact on consumer choices.
* **Supporting Argument:** Cite the paper to support your argument about the existence of information asymmetries in responsible consumption markets.
* **Contextualization:** Discuss the findings in relation to your broader research questions, highlighting the need for further investigation into information-seeking behaviors and the role of accessible information in mitigating greenwashing. 


Remember, while the reference paper offers some relevant insights, it shouldn't be a central pillar of your research. Use it judiciously to strengthen your arguments and provide real-world examples."
Lin T.; Xu T.; Zac A.; Tomkins S.,"Lin, Tong (58569071200); Xu, Tianliang (58569175200); Zac, Amit (57225947292); Tomkins, Sabina (57219506577)",58569071200; 58569175200; 57225947292; 57219506577,SUSTAINABLESIGNALS: An AI Approach for Inferring Consumer Product Sustainability,2023,IJCAI International Joint Conference on Artificial Intelligence,2023-August,,,6067.0,6075.0,8.0,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170386040&partnerID=40&md5=e8a502c079ad31a629f24269b46eecb6,"The everyday consumption of household goods is a significant source of environmental pollution. The increase of online shopping affords an opportunity to provide consumers with actionable feedback on the social and environmental impact of potential purchases, at the exact moment when it is relevant. Unfortunately, consumers are inundated with ambiguous sustainability information. For example, greenwashing can make it difficult to identify environmentally friendly products. The highest-quality options, such as Life Cycle Assessment (LCA) scores or tailored impact certificates (e.g., environmentally friendly tags), designed for assessing the environmental impact of consumption, are ineffective in the setting of online shopping. They are simply too costly to provide a feasible solution when scaled up, and often rely on data from self-interested market players. We contribute an analysis of this online environment, exploring how the dynamic between sellers and consumers surfaces claims and concerns regarding sustainable consumption. In order to better provide information to consumers, we propose a machine learning method that can discover signals of sustainability from these interactions. Our method, SUSTAINABLESIGNALS, is a first step in scaling up the provision of sustainability cues to online consumers. © 2023 International Joint Conferences on Artificial Intelligence. All rights reserved.",,Artificial intelligence; Electronic commerce; Environmental impact; Learning systems; Life cycle; Sustainable development; Environmental pollutions; Environmentally friendly products; Feasible solution; Greenwashing; High quality; Household goods; Online shopping; Scaled-up; Social and environmental impact; Sustainability informations; Consumer products,Conference paper,Final,,Scopus,2-s2.0-85170386040,Yes,"Availability, Asymmetries","
This paper is relevant to your research in two key ways:

1. **Information Availability:** The reference paper directly addresses the issue of information availability for sustainable consumption. It highlights the challenges consumers face due to ambiguous and often misleading sustainability information online. This aligns with your focus on ""information barriers"" and how they influence the valuation of ethical aspects during decision-making. You could cite this paper to support your argument that accessible and transparent information is crucial for promoting responsible consumption.

2. **Information Asymmetries:** The paper explicitly discusses information asymmetries between sellers and consumers, particularly through the lens of greenwashing. This directly relates to your interest in how information barriers can arise from deceptive practices. You could use this paper to illustrate the real-world consequences of information asymmetries and how they can hinder consumers' ability to make informed ethical choices.

Furthermore, the reference paper's proposed ""SUSTAINABLESIGNALS"" method, while not directly applicable to your study, could be mentioned as a potential future solution to address the information challenges you highlight.  You could discuss it as an example of ongoing efforts to improve information accessibility and transparency for sustainable consumption. 


Let me know if you have any other papers you'd like me to evaluate!"
Malik G.; Gangwani K.K.; Kaur A.,"Malik, Garima (57195975088); Gangwani, Kishore Kumar (57214227014); Kaur, Amandeep (57219844017)",57195975088; 57214227014; 57219844017,DO GREEN ATTRIBUTES OF DESTINATION MATTER? THE EFFECT ON GREEN TRUST AND DESTINATION BRAND EQUITY,2022,Event Management,26,4,,775.0,792.0,17.0,12,10.3727/152599521X16367300695799,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130593789&doi=10.3727%2f152599521X16367300695799&partnerID=40&md5=572943fb18854c3eee0b3a083cad781f,"Tourism industry is a part of an important sector that contributes to the economic development of any country in an effective way such that the tourism stakeholders are taking efforts to develop sustainable tourism practices in order to preserve the future generation needs and hold their perception towards environment. Extant research on environmentally sustainable practices has treated “Green” tourism as local environmental awareness and conservative activities, failing to identify the differences in the way tourists choose destinations based on green attributes and how these attributes effect the destination marketing. This study addresses this gap by exploring the relationship among attributes of green tourism and green trust and their impact on destination brand equity. Moreover, an important variable, greenwashing, is used to measure the moderation effects in the relationships proposed. Analysis was based on a sample of 739 Indian tourists having visited three eco-friendly destinations. Partial least square structural equation modeling (PLS-SEM) technique exhibited the impact of green service attributes (green service delivery and green service support except green service policy) on green trust with significant moderation interaction effects from greenwashing and finally the consequent effect on destination brand equity. © 2022 Cognizant, LLC. All Rights Reserved.",Brand equity; Destination marketing; Green tourism; Sustainability,,Article,Final,,Scopus,2-s2.0-85130593789,Possibly,"Asymmetries, Sustainability","
While the reference paper focuses on green tourism and destination branding, it touches upon elements relevant to your research:

* **Information Asymmetries:** The paper explicitly addresses ""greenwashing,"" which is a prime example of information asymmetry.  Greenwashing practices create a gap between the perceived sustainability of a destination and its actual practices. This aligns with your interest in information barriers and how they influence responsible consumption.

* **Sustainability:** The paper's core theme revolves around sustainable tourism practices and how they impact consumer trust and brand equity. This provides context and supports the broader importance of sustainability within your study.

**How to Utilize:**

1. **Greenwashing as an Information Barrier:** You can cite this paper to illustrate how greenwashing acts as an information barrier, preventing consumers from accurately assessing the ethical aspects of products or services. This strengthens your argument about the need for transparent information systems.

2. **Trust and Information:** The paper's findings on green trust highlight the link between information quality and consumer trust. You can draw parallels to your own research, suggesting that accessible and reliable information about ethical aspects can build trust and encourage responsible consumption.

3. **Contextualizing Sustainability:** While not directly focused on information seeking, the paper provides a valuable example of how sustainability concerns are integrated into consumer decision-making within a specific industry (tourism). This can enrich the discussion in your paper by demonstrating the wider applicability of your findings.



**Important Note:** The reference paper's primary focus is not on information seeking behaviors. Therefore, its direct contribution to your research on information-seeking processes might be limited. However, its insights into information asymmetries and the impact of greenwashing can be valuable additions to your work."
Santos Rodrigues J.P.; Munaro A.C.; Paraiso E.C.,"Santos Rodrigues, Joao P. (57203978711); Munaro, Ana C. (57211916729); Paraiso, Emerson Cabrera (56028874700)",57203978711; 57211916729; 56028874700,Identifying Sponsored Content in YouTube using Information Extraction,2021,"Conference Proceedings - IEEE International Conference on Systems, Man and Cybernetics",,,,3075.0,3080.0,5.0,2,10.1109/SMC52423.2021.9659291,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124291012&doi=10.1109%2fSMC52423.2021.9659291&partnerID=40&md5=f20d892705b762de31c7fc3b56617857,"Information Extraction techniques can retrieve useful information from unstructured data that improve data analytics' effectiveness and play a key role in the consumer decision-making process. The growth of sponsored content videos on social media increases the demand on knowing the effectiveness of the sponsored investment in the engagement results obtained. This study aims to analyze an approach to infer sponsored content in videos from top digital influencers on YouTube using knowledge acquisition techniques in audio transcriptions. A dataset with 34,563 videos, among 103 different YouTubers channels, was used in a model comprising six stages: data acquisition, preprocessing of documents, identification of candidate videos, manual transcriptions processing, automatic transcriptions processing, and tuple filtering. Despite we perceived several difficulties during the recognition of speech from YouTube videos, such as the absence of clear boundaries between words, the presence of two or more people talking in the video, and colloquial expressions, as a result, the approach identifies sponsored videos from their audio transcripts in a feasible process by identifying keywords, obtaining knowledge from tuples, and recognizing named entities.  © 2021 IEEE.",,Artificial intelligence; Behavioral research; Data Analytics; Data mining; Decision making; Information retrieval; Information retrieval systems; Information use; Natural language processing systems; Speech recognition; Consumer decision making; Data analytics; Decision-making process; Document identification; Information extraction techniques; Knowledge acquisition techniques; Six stages; Social media; Unstructured data; YouTube; Data acquisition,Conference paper,Final,,Scopus,2-s2.0-85124291012,Possibly,Other,"
The reference paper focuses on identifying sponsored content in YouTube videos using information extraction techniques. This could be relevant to your research in the following way:

* **Understanding Information Barriers:** Your paper highlights the importance of accessible and transparent information for responsible consumption. The techniques used in the reference paper to identify sponsored content could be adapted to analyze how information about a product's ethical or sustainable aspects is presented (or hidden) in online environments. This could help you identify potential information barriers that consumers face when trying to make responsible choices.

* **Analyzing Greenwashing:** The reference paper's focus on identifying sponsored content could be relevant to your interest in information asymmetries.  You could explore whether companies use sponsored content or misleading language to downplay negative environmental or social impacts, effectively engaging in greenwashing.

**Important Note:**  The relevance hinges on your ability to adapt the information extraction techniques from the reference paper to the specific context of sustainability and responsible consumption. You would need to identify relevant keywords, knowledge sources, and named entities related to ethical and sustainable practices."
Momsen K.; Ohndorf M.,"Momsen, Katharina (56305887900); Ohndorf, Markus (38862627600)",56305887900; 38862627600,"Information avoidance, selective exposure, and fake (?) news: Theory and experimental evidence on green consumption",2022,Journal of Economic Psychology,88,,102457,,,,24,10.1016/j.joep.2021.102457,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119298960&doi=10.1016%2fj.joep.2021.102457&partnerID=40&md5=7a4a626334bb5fadf3f85bd0a0e03ced,"We investigate self-serving information avoidance by consumers when revelation is stochastic and the revealed information is potentially erroneous. Our formal considerations based on a cognitive dissonance model suggest that the size of the price difference between product options determines if information avoidance arises. This prediction is supported by our laboratory experiment, in which subjects purchase products associated with co-benefits implemented as contributions to climate change mitigation. In seven treatments, we alter the information structure as well as the perceived revelation costs. We find robust evidence of self-serving information avoidance in treatments with simple stochastic revelation and reduced reliability of information, representing potential ‘fake’ news. The propensity to avoid information increases with the introduction of merely nominal information costs. In contrast to previous studies, we conclude that self-serving information avoidance can arise in consumption, which could also explain the persistent demand for products associated with ‘green-washing’. © 2021 The Authors",Carbon offsets; Cognitive dissonance; Information avoidance; Information economics; Moral wiggle room; Sustainable consumption,,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85119298960,Yes,"Availability, Asymmetries","
This paper is relevant to your research in two key ways:

* **Information Availability:** The reference paper directly addresses the impact of information availability (or lack thereof) on consumer behavior, particularly in the context of ""green"" consumption. Their findings on information avoidance and the influence of perceived information reliability align with your interest in how information barriers shape the prioritization of ethical aspects during decision-making. You could cite this paper to support your argument that accessible and transparent information is crucial for driving responsible consumption.

* **Asymmetries:** The paper highlights the issue of information asymmetries, specifically through the lens of ""greenwashing."" This concept directly relates to your focus on ethical consumption. You can use their findings on self-serving information avoidance and the potential for ""fake news"" to strengthen your argument about the need for improved information systems and decision-support tools to combat misleading information and empower consumers to make informed choices.


**Additional Points:**

* While the reference paper focuses on ""green"" consumption, its findings are likely generalizable to other forms of socially and ethically responsible consumption.
* You might consider contrasting your study's focus on ""search behaviors"" with the reference paper's emphasis on ""information avoidance."" This could lead to a richer discussion about the complexities of information-seeking processes in the context of responsible consumption."
